zone,station_id,name,latitude,longitude,address,neighborhood,postal_code,capacity,bikes_available,bikes_unavailable,docks_available,docks_unavailable
Guadalajara,2,(GDL-001) C. Epigmenio Glez./ Av. 16 de Sept.,20.666378,-103.34882,(GDL-001) C. Epigmenio González / Av. 16 de Septiembre *,Mexicaltzingo,44180,15,3,0,12,0
Guadalajara,3,(GDL-002) C. Colonias  / Av.  Niños héroes,20.667228,-103.366,(GDL-002) C. Colonias / Av.  Niños Héroes,Americana,44160,15,4,1,10,0
Guadalajara,4,(GDL-003) C. Vidrio / Av. Chapultepec,20.66769,-103.368252,(GDL-003) C. Vidrio / Av. Chapultepec,Americana,44160,19,0,1,18,0
Guadalajara,5,(GDL-004) C. Ghilardi /C. Miraflores,20.69175,-103.36255,(GDL-004) C. Ghilardi / C. Miraflores *,Santa Teresita,44600,11,8,1,2,0
Guadalajara,6,(GDL-005) C. San Diego /Calzada Independencia,20.681151,-103.338863,(GDL-005) C. San Diego / Calz. Independencia *,El Retiro,44280,11,11,0,0,0
Guadalajara,8,(GDL-006) C. Venustiano Carranza /C. Reforma,20.6807519,-103.3443801,(GDL-006) C. Venustiano Carranza / C. Reforma *,El Retiro,44280,11,11,0,0,0
Guadalajara,9,(GDL-007)C. Epigmenio Glez./Av. Cristobal C.,20.666771,-103.350562,(GDL-007) C. Epigmenio González / Av. Cristóbal Colón,Mexicaltzingo,44180,15,14,1,0,0
Guadalajara,10,(GDL-008) C. J. Angulo / C. González Ortega,20.681871,-103.350396,(GDL-008) C. Joaquín Angulo / C. González Ortega *,Guadalajara Centro,44100,15,13,0,2,0
Guadalajara,11,(GDL-009) Calz. Federalismo/ C. J. Angulo,20.681984,-103.353835,(GDL-009) Calz. Federalismo / C. Joaquín Angulo *,Artesanos,44200,23,12,1,10,0
Guadalajara,12,(GDL-010) C. Cruz verde / C. Joaquin Angulo,20.681786,-103.357267,(GDL-010) C. Cruz Verde / C. Joaquín Angulo *,El Santuario,44200,15,7,0,8,0
Guadalajara,13,(GDL-011) C. Garibaldi / C. Frías,20.681081,-103.360099,(GDL-011) C. Garibaldi / C. Frías *,Sagrada Familia,44200,11,3,0,8,1
Guadalajara,14,(GDL-012) C. Joaquín Angulo / C. Ghilardi,20.681989,-103.36292,(GDL-012) C. Joaquín Angulo / C. Ghilardi*,Capilla de Jesús,44200,11,4,0,7,0
Guadalajara,15,(GDL-013) C. Vidrio  / C. Marsella,20.667623,-103.370499,(GDL-013) C. Vidrio  / C. Marsella,Obrera Centro,44140,11,0,1,10,0
Guadalajara,16,(GDL-014)C. J. Angulo/C. José Clemente Orozco,20.682059,-103.365969,(GDL-014) C. Joaquín Angulo / C. J. Clemente Orozco *,Villaseñor,44600,19,8,3,8,0
Guadalajara,17,(GDL-015) C. Herrera y Cairo /C. Pedro Buzeta,20.683191,-103.369349,(GDL-015) C. Herrera y Cairo / C. Pedro Buzeta *,Santa Teresita,44600,15,7,1,7,0
Guadalajara,18,(GDL-016)C. Bernardo de Balbuena/C. J. Angulo,20.682007,-103.372642,(GDL-016) C. Bernardo de Balbuena / C. Joaquín Angulo*,Santa Teresita,44600,15,9,0,6,0
Guadalajara,19,(GDL-017) Av. México /C. Bernardo de Balbuena,20.679086,-103.372841,(GDL-017) Av. México / C. Bernardo de Balbuena,Villaseñor,44600,15,0,0,15,0
Guadalajara,20,(GDL-018) Av. México / C. Manuel M. Diéguez,20.679296,-103.370658,(GDL-018) Av. México / C. Manuel M. Diéguez,Villaseñor,44600,11,0,0,11,0
Guadalajara,21,(GDL-019)  C. Juan Manuel / C. Andrés Terán,20.678835,-103.368045,(GDL-019) C. Juan Manuel / C. Andrés Terán,Ladrón de Guevara,44600,23,0,1,22,0
Guadalajara,23,(GDL-021) C. Nicolás Romero / C. Reforma,20.67966,-103.362224,(GDL-021) C. Nicolás Romero / C. Reforma*,Guadalajara Centro,44100,15,4,0,11,0
Guadalajara,24,(GDL-022)C. San Felipe /C. Enrique D. de León,20.679389,-103.35913,(GDL-022) C. San Felipe / Av. Enrique Díaz de León *,Guadalajara Centro,44100,15,6,2,7,0
Guadalajara,25,(GDL-023) C. Jesús / C. San Felipe,20.679309,-103.356281,(GDL-023) C. Jesús / C. San Felipe *,Guadalajara Centro,44100,15,11,0,4,0
Guadalajara,26,(GDL-024) Av.  Federalismo / C. Juan Manuel,20.678777,-103.354035,(GDL-024) Calz. Federalismo / C. Juan Manuel*,Guadalajara Centro,44100,15,10,4,1,0
Guadalajara,27,(GDL-025) C. Reforma / C. González Ortega,20.680227,-103.350146,(GDL-025) C. Reforma / C. González Ortega *,Guadalajara Centro,44100,15,8,0,7,0
Guadalajara,28,(GDL-026) C. Pedro Loza / C. Reforma,20.680478,-103.348377,(GDL-026) C. Pedro Loza / C. Reforma,Guadalajara Centro,44100,15,1,3,11,0
Guadalajara,29,(GDL-027) C. Belén / C. San Felipe,20.679861,-103.345198,(GDL-027) C. Belén / C. San Felipe *,Guadalajara Centro,44100,11,4,1,6,0
Guadalajara,30,(GDL-028) C. Gregorio Dávila /C. Manuel Acuña,20.684187,-103.36113,(GDL-028) C. Gregorio Dávila / C. Manuel Acuña *,Artesanos,44200,11,8,0,3,0
Guadalajara,31,(GDL-029)Calz. Indep. /C. Juan Manuel,20.679505,-103.339753,(GDL-029) Calz. Independencia / C. Juan Manuel,Guadalajara Centro,44100,15,13,2,0,0
Guadalajara,32,(GDL-030) C. Pedro Moreno/ C. Progreso,20.675461,-103.367501,(GDL-030) C. Pedro Moreno / C. Progreso,Americana,44160,19,0,1,18,0
Guadalajara,33,(GDL-031) C. Hospital / C. Andrés Terán,20.685652,-103.368215,(GDL-031) C. Hospital / C. Andrés Terán *,Ladrón de Guevara,44600,11,6,0,5,0
Guadalajara,34,(GDL-032) C. Degollado / Av. Hidalgo,20.6772627,-103.344908,(GDL-032) C. Degollado / Av. Hidalgo,Guadalajara Centro,44100,15,8,0,7,0
Guadalajara,35,(GDL-033) Av. Hidalgo / C. Pedro Loza,20.677419,-103.347983,(GDL-033) Av. Hidalgo / C. Pedro Loza,Guadalajara Centro,44100,15,9,0,6,0
Guadalajara,36,(GDL-034) C. Morelos / C. Donato Guerra,20.676461,-103.350244,(GDL-034) C. Morelos / C. Donato Guerra,Guadalajara Centro,44100,15,6,0,9,0
Guadalajara,37,(GDL-035)C. Mezquitán / Av. Hidalgo,20.677315,-103.3534145,(GDL-035) C. Mezquitán / Av. Hidalgo,Guadalajara Centro,44100,11,3,0,8,0
Guadalajara,38,(GDL-036) C. Marcos Castellanos/ C. Morelos,20.676078,-103.356458,(GDL-036) C. Marcos Castellanos / C. Morelos,Americana,44160,23,17,0,6,0
Guadalajara,39,(GDL-037) C.Juan N. Cumplido /C. Independenci,20.678034,-103.358466,(GDL-037) C. Juan N. Cumplido / C. Independencia,Guadalajara Centro,44100,15,7,3,5,0
Guadalajara,40,(GDL-038) C. Nicolás Romero / Av. Hidalgo,20.676656,-103.362331,(GDL-038) C. Nicolás Romero / Av. Hidalgo,Guadalajara Centro,44100,15,6,1,8,0
